Date;Time;State;Power;Temp
2022-03-16;12:21:21;ON;114.22;42
2022-03-16;12:22:21;ON;114.22;42
2022-03-16;12:23:21;ON;114.22;42
2022-03-16;12:24:21;ON;114.22;42
2022-03-16;12:25:21;ON;114.22;42
2022-03-16;12:26:21;ON;114.22;42
2022-03-16;12:27:21;ON;114.22;42
2022-03-16;12:28:21;ON;114.22;42
2022-03-16;12:29:21;ON;114.22;42
2022-03-16;12:30:21;ON;114.22;42
2022-03-16;12:31:21;ON;114.22;42
2022-03-16;12:32:21;ON;114.22;42
2022-03-16;12:33:21;ON;114.22;42
2022-03-16;12:34:21;ON;114.22;42
2022-03-16;12:35:21;ON;114.22;42
2022-03-16;12:36:21;ON;114.22;42
2022-03-16;12:37:21;ON;114.22;42
2022-03-16;12:38:21;ON;114.22;42
2022-03-16;12:39:21;ON;114.22;42
2022-03-16;12:40:21;ON;114.22;42
2022-03-16;12:41:21;ON;114.22;42
2022-03-16;12:42:21;ON;114.22;42
2022-03-16;12:43:21;ON;114.22;42
2022-03-16;12:44:21;ON;114.22;42
2022-03-16;12:45:21;ON;114.22;42
2022-03-16;12:46:21;ON;114.22;42
2022-03-16;12:47:21;ON;114.22;42
2022-03-16;12:48:21;ON;114.22;42
2022-03-16;12:49:21;ON;114.22;42
2022-03-16;12:50:21;ON;114.22;42
2022-03-16;12:51:21;ON;114.22;42
2022-03-16;12:52:21;ON;114.22;42
2022-03-16;12:53:21;ON;114.22;42
2022-03-16;12:54:21;ON;114.22;42
2022-03-16;12:55:21;ON;114.22;42
2022-03-16;12:56:21;ON;114.22;42
2022-03-16;12:57:21;ON;114.22;42
2022-03-16;12:58:21;ON;114.22;42
2022-03-16;12:59:21;ON;114.22;42
2022-03-16;13:00:21;ON;114.22;42
2022-03-16;13:01:21;ON;114.22;42
2022-03-16;13:02:21;ON;114.22;42
2022-03-16;13:03:21;ON;114.22;42
2022-03-16;13:04:21;ON;114.22;42
2022-03-16;13:05:21;ON;114.22;42
2022-03-16;13:06:21;ON;114.22;42
2022-03-16;13:07:21;ON;114.22;42
2022-03-16;13:08:21;ON;114.22;42
2022-03-16;13:09:21;ON;114.22;42
2022-03-16;13:10:21;ON;114.22;42
2022-03-16;13:11:21;ON;114.22;42
2022-03-16;13:12:21;ON;114.22;42
2022-03-16;13:13:21;ON;114.22;42
2022-03-16;13:14:21;ON;114.22;42
2022-03-16;13:15:21;ON;114.22;42
2022-03-16;13:16:21;ON;114.22;42
2022-03-16;13:17:21;ON;114.22;42
2022-03-16;13:18:21;ON;114.22;42
2022-03-16;13:19:21;ON;114.22;42
2022-03-16;13:20:21;ON;114.22;42
2022-03-16;13:21:21;ON;114.22;42
2022-03-16;13:22:21;ON;114.22;42
2022-03-16;13:23:21;ON;114.22;42
2022-03-16;13:24:21;ON;114.22;42
2022-03-16;13:25:21;ON;114.22;42
2022-03-16;13:26:21;ON;114.22;42
2022-03-16;13:27:21;ON;114.22;42
2022-03-16;13:28:21;ON;114.22;42
2022-03-16;13:29:21;ON;114.22;42
2022-03-16;13:30:21;ON;114.22;42
2022-03-16;13:31:21;ON;114.22;42
2022-03-16;13:32:21;ON;114.22;42
2022-03-16;13:33:21;ON;114.22;42
2022-03-16;13:34:21;ON;114.22;42
2022-03-16;13:35:21;ON;114.22;42
2022-03-16;13:36:21;ON;114.22;42
2022-03-16;13:37:21;ON;114.22;42
2022-03-16;13:38:21;ON;114.22;42
2022-03-16;13:39:21;ON;114.22;42
2022-03-16;13:40:21;ON;114.22;42
2022-03-16;13:41:21;ON;114.22;42
2022-03-16;13:42:21;ON;114.22;42
2022-03-16;13:43:21;ON;114.22;42
2022-03-16;13:44:21;ON;114.22;42
2022-03-16;13:45:21;ON;114.22;42
2022-03-16;13:46:21;ON;114.22;42
2022-03-16;13:47:21;ON;114.22;42
2022-03-16;13:48:21;ON;114.22;42
2022-03-16;13:49:21;ON;114.22;42
2022-03-16;13:50:21;ON;114.22;42
2022-03-16;13:51:21;ON;114.22;42
2022-03-16;13:52:21;ON;114.22;42
2022-03-16;13:53:21;ON;114.22;42
2022-03-16;13:54:21;ON;114.22;42
2022-03-16;13:55:21;ON;114.22;42
2022-03-16;13:56:21;ON;114.22;42
2022-03-16;13:57:21;ON;114.22;42
2022-03-16;13:58:21;ON;114.22;42
2022-03-16;13:59:21;ON;114.22;42
2022-03-16;14:00:21;ON;114.22;42
2022-03-16;14:01:21;ON;114.22;42
2022-03-16;14:02:21;ON;114.22;42
2022-03-16;14:03:21;ON;114.22;42
2022-03-16;14:04:21;ON;114.22;42
2022-03-16;14:05:21;ON;114.22;42
2022-03-16;14:06:21;ON;114.22;42
2022-03-16;14:07:21;ON;114.22;42
2022-03-16;14:08:21;ON;114.22;42
2022-03-16;14:09:21;ON;114.22;42
2022-03-16;14:10:21;ON;114.22;42
2022-03-16;14:11:21;ON;114.22;42
2022-03-16;14:12:21;ON;114.22;42
2022-03-16;14:13:21;ON;114.22;42
2022-03-16;14:14:21;ON;114.22;42
2022-03-16;14:15:21;ON;114.22;42
2022-03-16;14:16:21;ON;114.22;42
2022-03-16;14:17:21;ON;114.22;42
2022-03-16;14:18:21;ON;114.22;42
2022-03-16;14:19:21;ON;114.22;42
2022-03-16;14:20:21;ON;114.22;42
2022-03-16;14:21:21;ON;114.22;42
2022-03-16;14:22:21;ON;114.22;42
2022-03-16;14:23:21;ON;114.22;42
2022-03-16;14:24:21;ON;114.22;42
2022-03-16;14:25:21;ON;114.22;42
